"","iso_code","year","collector","number","family","species","sp_code","qds","lat","long","pathway","weight","d.15NAIR","d.13CVPDB","X.N","X.C","C.N","d13_atmos","delta.disc","wetstart","wetend","wetlength","wetrain","wetdaily","wetlambda","avg_temp_anomaly","co2_ppm"
"1",1,1931,"Mogg, A.O.D.","16454","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.802,5.2,-11.4,2.7,54.1,20.3,-6.9815,4.46945175,141.666666666667,288.333333333333,146.666666666667,437.133333333333,3.01011421755398,8.70354525648643,0.241019055247307,306.5
"2",2,1929,"Skea, D.","21","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.973,4.1,-10.9,2.5,44.4,17.6,-6.841285714,4.103441801,142.666666666667,263,120.333333333333,580.633333333333,4.82154801051051,13.5760869565218,0.0467053726315498,306.12
"3",3,1931,"Mogg, A.O.D.","16471","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.841,2.5,-10.8,1.2,42.1,36.6,-6.9815,3.860190053,141.666666666667,288.333333333333,146.666666666667,437.133333333333,3.01011421755398,8.70354525648643,0.241019055247307,306.5
"4",4,1931,"Mogg, A.O.D.","16453","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.82,8.8,-10.1,2,50.9,24.8,-6.9815,3.150318214,141.666666666667,288.333333333333,146.666666666667,437.133333333333,3.01011421755398,8.70354525648643,0.241019055247307,306.5
"5",5,1932,"Cronje, T.","12","Poaceae","Hyparrhenia hirta","HH","2528CA",-25.625,28.125,"C4",1.675,3.8,-10.8,1.3,40.6,31.4,-6.906,3.936514355,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"6",6,1936,"Mogg, A.O.D.","13715","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.703,3.4,-10.4,1.2,41.2,33.1,-6.939,3.497372676,170.333333333333,327,156.666666666667,638.966666666667,4.0939787244872,15.4605659616262,0.355068892240524,308.44
"7",7,1944,"Wasserfall, E.","PRE 33399","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.688,6,-10.9,2.1,42.2,20.4,-7.079100425,3.863006344,115,240,125,594.4,4.72268859897902,10.9180330634278,-0.381501793861389,311.86
"8",8,1964,"Oakes, A.C.J.","245","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.704,2.6,-11.7,0.4,42,103.8,-7.066939165,4.687909375,105,258,153,534.833333333333,3.46123056470724,12.3526397011046,-0.843952834606171,318.59
"9",9,1983,"Smook, L.","4761","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.837,3.2,-11.8,2,43.5,22,-7.65725,4.192218174,99.5,253,153.5,516.05,3.39396149861879,11.5558176820889,-0.686116874217987,340.22
"10",10,1956,"de Wet","1469","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.762,2.3,-10.1,1.8,42.6,23.4,-7.064993826,3.065972497,114.333333333333,289.666666666667,175.333333333333,653.9,3.75894866566822,13.9279060990338,-0.54236364364624,314.44
"11",11,1932,"Smith, C.A.","6079","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.847,5.6,-11.1,1.8,41.8,23.1,-6.906,4.241075943,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"12",12,1932,"Mogg, A.O.D.","12348","Poaceae","Hyparrhenia hirta","HH","2528CA",-25.625,28.125,"C4",1.718,2.3,-11.7,0.9,40.5,43.7,-6.906,4.85075382,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
