iso_code,X,qds,year,collector,number,family,species,sp_code,lat,long,pathway,weight,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos,delta.disc,wetstart,wetend,wetlength,wetrain,wetdaily,wetlambda,avg_temp_anomaly,co2_ppm
1,82,2528CA,1931,"Mogg, A.O.D.",16454,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.802,5.2,-11.4,2.7,54.1,20.3,-6.9815,4.46945175,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,0.25591185688972473,306.5
2,41,2528CA,1929,"Skea, D.",21,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.973,4.1,-10.9,2.5,44.4,17.6,-6.841285714,4.103441801,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.03227221220731735,306.12
3,70,2528CA,1931,"Mogg, A.O.D.",16471,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.841,2.5,-10.8,1.2,42.1,36.6,-6.9815,3.860190053,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,0.25591185688972473,306.5
4,71,2528CA,1931,"Mogg, A.O.D.",16453,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.82,8.8,-10.1,2,50.9,24.8,-6.9815,3.150318214,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,0.25591185688972473,306.5
5,50,2528CA,1932,"Cronje, T.",12,Poaceae,Hyparrhenia hirta,HH,-25.625,28.125,C4,1.675,3.8,-10.8,1.3,40.6,31.4,-6.906,3.936514355,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
6,64,2528CA,1936,"Mogg, A.O.D.",13715,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.703,3.4,-10.4,1.2,41.2,33.1,-6.939,3.497372676,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.19049422442913055,308.44
7,77,2528CA,1944,"Wasserfall, E.",PRE 33399,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.688,6,-10.9,2.1,42.2,20.4,-7.079100425,3.863006344,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.4449279308319092,311.86
8,74,2528CA,1964,"Oakes, A.C.J.",245,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.704,2.6,-11.7,0.4,42,103.8,-7.066939165,4.687909375,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.8439528346061707,318.59
9,61,2528CA,1983,"Smook, L.",4761,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.837,3.2,-11.8,2,43.5,22,-7.65725,4.192218174,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.6861168742179871,340.22
10,56,2528CA,1956,de Wet,1469,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.762,2.3,-10.1,1.8,42.6,23.4,-7.064993826,3.065972497,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.348050057888031,314.44
11,58,2528CA,1932,"Smith, C.A.",6079,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.847,5.6,-11.1,1.8,41.8,23.1,-6.906,4.241075943,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
12,59,2528CA,1932,"Mogg, A.O.D.",12348,Poaceae,Hyparrhenia hirta,HH,-25.625,28.125,C4,1.718,2.3,-11.7,0.9,40.5,43.7,-6.906,4.85075382,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
13,89,2528CA,1925,"Pole-Evans, I.B.",1528,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.651,1,-10.3,0.5,40.8,81.6,-6.968,3.366676771,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.23752760887145996,305.06
14,55,2528CA,1932,"Smith, C.A.",6059,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.673,1.3,-9.6,1.6,42.5,26.9,-6.906,2.720113086,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
16,73,2528CA,1925,"Robinson, M.",15,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.787,5.5,-11.3,2.2,40,17.9,-6.968,4.381511075,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.23752760887145996,305.06
17,60,2528CA,1932,"Mogg, A.O.D.",12331,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.632,3.7,-11.6,1.5,42.9,29.2,-6.906,4.749089437,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
18,51,2528CA,1932,"Smith, C.A.",6122,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.857,4.4,-10.5,1.8,42.9,23.3,-6.906,3.632137443,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
19,48,2528CA,1971,"Hanekom, W.J.",1706,Poaceae,Hyparrhenia hirta,HH,-25.625,28.125,C4,1.87,8.7,-10.5,1.3,43.2,32.4,-7.3475,3.185952501,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.6024286150932312,325.32
20,83,2528CA,1919,"Stent, S.M.",PRE19940,Poaceae,Hyparrhenia hirta,HH,-25.625,28.125,C4,1.92,4.5,-10.5,0.9,40.9,44.4,-6.94453502,3.593193512,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-1.0996263027191162,303.7
