year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos,delta.disc,wetstart,wetend,wetlength,wetrain,wetdaily,wetlambda
1938,318,"Acocks, J.P.H.",63,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.79,-0.6,-26.1,1.4,43,30.9,-6.9435,19.66988397,152,292,140,783.8,5.55886524822695,16.3291666666667
1947,228,"Acocks, J.P.H.",13873,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.75,-4.5,-26.9,1.6,43.7,27.9,-7.013,20.43674854,110,275.5,165.5,752.3,4.495675675675675,8.652800324675326
1962,176,"Acocks, J.P.H.",22153,Poaceae,Koeleria capensis,KC,2929CB,-29.625,29.375,C3,1.618,-0.8,-26.6,1.4,43.4,30.5,-7.091,20.0421204,135,268,133,928,6.92537313432836,14.0606060606061
1936,65,"Adamson, R.S.",811,Poaceae,Koeleria capensis,KC,3318CD,-33.875,18.375,C3,1.714,2.7,-26.1,1.9,45.7,24.2,-6.939,19.67450457,146,253,107,408,3.7607136788445166,9.438729679906142
1936,76,"Adamson, R.S.",781,Poaceae,Hyparrhenia hirta,HH,3318CD,-33.875,18.375,C4,1.89,3,-10.7,1.5,45.2,29.5,-6.939,3.801677954,146,253,107,408,3.7607136788445166,9.438729679906142
1939,97,"Adamson, R.S.",2684,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.717,2.5,-26.9,1.1,42.5,37.8,-6.994,20.45627376,111,254,143,643.4,4.46805555555556,9.89846153846154
1941,211,"Adamson, R.S.",3277,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.707,1.3,-29.4,1.7,44.3,26,-6.999,23.07953843,99.5,266.5,167,852.45,5.0741071428571445,11.47491127260438
1942,100,"Adamson, R.S.",3451,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.927,5.4,-30.1,1.4,41.7,28.9,-7.065637441,23.7492139,142,259,117,895.3,7.58728813559322,13.7738461538462
1946,106,"Adamson, R.S.",3718,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.758,1.5,-29.6,2,43.3,21.9,-6.983,23.30688376,92,259,167,600.2,3.57261904761905,8.95820895522388
1948,213,"Adamson, R.S.",4074,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.777,-0.4,-28.8,1.4,43.5,30.9,-7.043,22.40218287,126.5,284,157.5,570.75,3.601417084627025,8.893406460945034
