"","qds","year","iso_code","collector","number","family","species","sp_code","lat","long","pathway","weight","d.15NAIR","d.13CVPDB","X.N","X.C","C.N","d13_atmos","delta.disc","wetstart","wetend","wetlength","wetrain","wetdaily","wetlambda"
"1","2231CA",1971,322,"Stephen; Oakes","217; 1503","Poaceae","Digitaria eriantha","DE",-22.4156,31.0057,"C4",1.74,NA,-11.1,0.9,46.1,49,-7.3475,3.794620285,136,249,113,369.203728070175,10.4661537988666,14.7888899504718
"2","2231CA",1971,324,"Stephen; Oakes","204; 1464","Poaceae","Digitaria eriantha","DE",-22.4413,31.0601,"C4",1.723,NA,-11.3,0.9,45.7,49,-7.3475,3.997673713,136,249,113,369.203728070175,10.4661537988666,14.7888899504718
"3","2231CA",2005,323,"Morrison, E; Klasen, M","4","Poaceae","Digitaria eriantha","DE",22.4227,-22.4227,"C4",1.718,6.8,-13.6,2.1,47.3,22.5,-8.206351483,5.4680135,136,249,113,369.203728070175,10.4661537988666,14.7888899504718
"4","2231CA",2005,325,"Hauser, JR; Vaughan, AK","s.n.","Poaceae","Digitaria eriantha","DE",22.4129,-22.4129,"C4",1.694,NA,-13,1.5,45.8,30.6,-8.206351483,4.856786744,136,249,113,369.203728070175,10.4661537988666,14.7888899504718
"5","2331DC",2007,326,"Bouchenak-Khelladi, Y","YBK 235","Poaceae","Digitaria eriantha","DE",-23.5233,31.3504,"C4",1.828,1.3,-13.1,1.8,41.8,23.5,-8.26651815,4.897640946,126,238,112,418.774476190476,9.28140171514441,17.5826903727368
"6","2331DC",1971,327,"Stephen; Oakes","188; 1436","Poaceae","Digitaria eriantha","DE",-23.473,31.345,"C4",1.785,1.4,-11.2,1.9,45.6,24.4,-7.3475,3.896136731,126,238,112,418.774476190476,9.28140171514441,17.5826903727368
"7","2428DA",1972,304,"Ellis, R.P.","1025","Poaceae","Digitaria eriantha","DE",-24.625,28.625,"C4",1.672,NA,-11.5,1.6,45.7,29.1,-7.356,4.19221042,123,262,140,536.318939393939,3.97731409349948,14.0773110188647
"8","2428DA",1929,306,"Donisthorpe, A.","1","Poaceae","Digitaria eriantha","DE",-24.625,28.625,"C4",1.827,4.6,-10.2,2.4,47.2,19.6,-6.841285714,3.393326213,123,262,140,536.318939393939,3.97731409349948,14.0773110188647
"9","2428DA",1919,309,"Galpin, E.E.","393","Poaceae","Digitaria eriantha","DE",-24.625,28.625,"C4",1.988,NA,-9.9,1.5,42.7,29.4,-6.94453502,2.985016645,123,262,140,536.318939393939,3.97731409349948,14.0773110188647
"10","2428DA",1975,307,"Du Toit, P.C.V.","483","Poaceae","Digitaria eriantha","DE",-24.625,28.625,"C4",1.93,NA,-11.2,0.5,48.1,91.2,-7.417666667,3.825175297,123,262,140,536.318939393939,3.97731409349948,14.0773110188647
