year,co2_ppm
2019,406.738794
2018,404.22546066666666
2017,401.72212733333333
2016,399.70212733333335
2015,396.5254606666667
2014,394.1354606666667
2013,392.0829606666667
2012,389.306294
2011,387.30796066666665
2010,385.4654606666667
2009,383.55046066666665
2008,382.0696273333333
2007,380.07962733333335
2006,378.0204606666667
2005,376.0279606666667
2004,374.093794
2003,372.348794
2002,369.95212733333335
2001,368.5070082857143
2000,366.2779606666667
1999,365.121294
1998,363.173794
1997,360.6671273333333
154,278.18
155,278.14
156,278.09
157,278.05
158,278.01
159,277.97
160,277.93
161,277.89
162,277.85
163,277.82
164,277.79
165,277.76
166,277.74
167,277.72
168,277.7
169,277.69
170,277.68
171,277.67
172,277.67
173,277.68
174,277.69
175,277.71
176,277.73
177,277.76
178,277.79
179,277.83
180,277.88
181,277.92
182,277.98
183,278.03
184,278.09
185,278.16
186,278.23
187,278.3
188,278.37
189,278.45
190,278.53
191,278.61
192,278.69
193,278.78
194,278.86
195,278.95
196,279.04
197,279.13
198,279.22
199,279.31
200,279.4
201,279.49
202,279.58
203,279.67
204,279.76
205,279.85
206,279.93
207,280.02
208,280.1
209,280.18
210,280.26
211,280.34
212,280.41
213,280.48
214,280.55
215,280.62
216,280.68
217,280.73
218,280.79
219,280.83
220,280.88
221,280.92
222,280.95
223,280.98
224,281
225,281.02
226,281.03
227,281.03
228,281.03
229,281.02
230,281.01
231,280.98
232,280.95
233,280.92
234,280.87
235,280.82
236,280.75
237,280.68
238,280.6
239,280.51
240,280.42
241,280.31
242,280.19
243,280.07
244,279.94
245,279.8
246,279.66
247,279.52
248,279.38
249,279.25
250,279.11
251,278.98
252,278.85
253,278.74
254,278.63
255,278.53
256,278.44
257,278.37
258,278.31
259,278.27
260,278.25
261,278.24
262,278.26
263,278.3
264,278.36
265,278.45
266,278.57
267,278.71
268,278.88
269,279.06
270,279.26
271,279.46
272,279.66
273,279.86
274,280.04
275,280.21
276,280.35
277,280.48
278,280.59
279,280.68
280,280.76
281,280.83
282,280.88
283,280.93
284,280.96
285,280.99
286,281.01
287,281.02
288,281.03
289,281.03
290,281.04
291,281.04
292,281.04
293,281.05
294,281.06
295,281.07
296,281.09
297,281.11
298,281.14
299,281.18
300,281.22
301,281.26
302,281.3
303,281.35
304,281.4
305,281.45
306,281.5
307,281.54
308,281.59
309,281.63
310,281.68
311,281.71
312,281.74
313,281.77
314,281.79
315,281.81
316,281.82
317,281.81
318,281.81
319,281.79
320,281.76
321,281.73
322,281.68
